_id,Size,Categories,Objects,Popularity,Durability,Price,brand
151,S,Camping and Hiking,shirts,88,100,1824,Darn Tough
152,XL,Women Clothing,underwear,92,79,943,Rossignol
153,XS,Camping and Hiking,shoes,66,72,1057,Galfer
154,S,Women Clothing,kitchen,25,10,981,Snow Peak
155,XS,Women Clothing,ropes,50,36,1284,Chums
156,XS,Men Clothing,helmet,7,18,1268,Toad&Co
157,XXL,Women Clothing,helmet,27,76,503,Rossignol
158,S,Men Clothing,ropes,9,90,1824,Nike
159,XXL,Water and Snow Sports,lights,16,3,1408,Nordica
160,XL,Camping and Hiking,shorts,82,99,880,Stanley
161,L,Cycling,socks,95,12,1471,Nordica
162,S,Women Clothing,pants,87,17,1129,Topo Athletic
163,S,Camping and Hiking,pants,8,52,1312,Zamberlan
164,XL,Men Clothing,shorts,40,59,712,Goal Zero
165,L,Cycling,shorts,71,8,1346,TRP
166,XS,Water and Snow Sports,shirts,77,19,885,Yakima
167,M,Water and Snow Sports,paddles,75,11,411,ALPS Mountaineering
168,XXL,Accessories,socks,73,82,176,Wild Country
169,L,Accessories,socks,78,11,1849,Seirus
170,XS,Accessories,lights,22,39,221,evolv
171,XS,Accessories,lights,95,59,913,Beyond Yoga
172,L,Cycling,helmet,90,69,934,Race Face
173,M,Water and Snow Sports,tent,38,98,101,Big Agnes
174,S,Water and Snow Sports,boats,79,71,1877,The North Face
175,XXL,Women Clothing,tent,33,39,928,Gordini
176,XL,Men Clothing,bikes,3,73,641,Zipp
177,S,Accessories,parts,18,63,92,Tom Harrison Cartography
178,L,Women Clothing,underwear,74,94,334,ethirteen
179,S,Men Clothing,underwear,69,85,626,NRS
180,XS,Women Clothing,kitchen,81,23,1166,Dometic
181,XS,Accessories,boats,71,99,460,Nani Swimwear
182,XL,Water and Snow Sports,shorts,39,52,1747,Kokatat
183,XS,Water and Snow Sports,lights,30,98,542,Ortlieb
184,S,Cycling,shorts,37,40,1639,Mountain House
185,XS,Water and Snow Sports,jackets,36,1,398,Pacsafe
186,S,Camping and Hiking,bikes,97,13,1962,Salomon
187,M,Camping and Hiking,books,27,55,536,Eagle Creek
188,XL,Camping and Hiking,pants,79,9,1328,Merrell
189,M,Men Clothing,parts,74,47,1940,Seirus
190,S,Water and Snow Sports,bikes,4,43,1223,45NRTH
191,S,Women Clothing,books,27,66,201,Stickers Northwest
192,M,Accessories,shorts,40,61,1035,Lantern Press
193,L,Women Clothing,skis,19,10,1370,Salomon
194,XS,Cycling,boats,89,32,1697,Portland Design Works
195,S,Men Clothing,pants,46,95,1558,Rab
196,XXL,Camping and Hiking,books,73,94,950,crankbrothers
197,XXL,Men Clothing,skis,49,31,286,AMC
198,L,Cycling,beds,40,57,1363,KUHL
199,XL,Cycling,helmet,10,55,210,Ergon
200,L,Men Clothing,skis,12,73,1324,Zoic
201,XS,Camping and Hiking,pants,72,59,1889,Wilderness Press
202,XS,Cycling,jackets,70,7,1097,Ruffwear
203,L,Cycling,books,86,14,1128,Big Agnes
204,S,Accessories,kitchen,67,90,1385,DAKINE
205,XL,Water and Snow Sports,lights,10,16,1618,Suncloud
206,L,Accessories,boats,88,6,1288,Saucony
207,S,Water and Snow Sports,bags,91,9,810,Galfer
208,S,Women Clothing,bags,69,8,1228,Boulder Gear
209,M,Men Clothing,socks,5,70,1841,Ergon
210,S,Cycling,parts,70,97,1201,Stance
211,L,Women Clothing,skis,99,37,1817,K2
212,XXL,Accessories,kitchen,26,70,55,Lantern Press
213,XL,Water and Snow Sports,shoes,88,31,360,Sierra Designs
214,XL,Cycling,shirts,33,94,103,Schwalbe
215,L,Women Clothing,helmet,81,17,802,VISSLA
216,M,Accessories,bags,100,24,1431,Benchmark Maps
217,XXL,Women Clothing,underwear,73,95,924,National Geographic
218,S,Water and Snow Sports,tent,87,14,687,AKU
219,S,Accessories,helmet,42,14,252,Brompton
220,M,Accessories,beds,9,79,1433,Kari Traa
221,XL,Women Clothing,jackets,42,10,1952,Seirus
222,XL,Men Clothing,pants,10,44,1296,Wolf Tooth Components
223,XL,Cycling,books,76,68,1460,Mountain House
224,L,Accessories,shirts,55,23,119,Outdoor Research
225,XL,Camping and Hiking,socks,65,73,1455,Kamik
226,S,Accessories,shorts,28,68,827,Xero Shoes
227,S,Accessories,books,88,22,916,Wheels Manufacturing
228,XXL,Water and Snow Sports,underwear,79,44,1353,DeLorme
229,XL,Camping and Hiking,shorts,48,35,1274,WTB
230,XXL,Cycling,paddles,53,15,264,Trek
231,S,Men Clothing,jackets,61,50,737,Mountain Equipment
232,XS,Accessories,jackets,77,46,102,Altra
233,M,Accessories,shoes,100,81,1111,Marmot
234,XXL,Camping and Hiking,underwear,6,46,839,Sanuk
235,XXL,Cycling,shorts,96,9,1001,Sanuk
236,L,Camping and Hiking,paddles,96,69,647,Casio
237,L,Water and Snow Sports,shirts,86,29,402,Amphipod
238,M,Camping and Hiking,shorts,25,11,1740,Buff
239,XS,Water and Snow Sports,lights,33,95,3,Look
240,XL,Men Clothing,shorts,7,36,1284,MSR
241,XS,Men Clothing,beds,70,45,687,OluKai
242,S,Camping and Hiking,shorts,70,83,335,Trek
243,XS,Women Clothing,kitchen,10,23,362,VISSLA
244,XS,Water and Snow Sports,lights,36,89,1085,Wild Rye
245,S,Men Clothing,lights,32,47,971,Look
246,S,Men Clothing,shoes,14,83,319,Race Face
247,M,Accessories,books,17,13,401,Columbia
248,XS,Accessories,bikes,58,48,979,SRAM
249,XS,Water and Snow Sports,books,48,14,1193,Roxy
250,S,Women Clothing,parts,4,57,187,National Geographic
251,L,Water and Snow Sports,beds,17,95,391,humangear
252,M,Women Clothing,lights,21,62,1441,Goal Zero
253,M,Accessories,lights,73,29,1955,CamelBak
254,S,Men Clothing,bags,30,15,857,Edelrid
255,XXL,Cycling,bikes,44,15,649,Smartwool
256,M,Men Clothing,skis,98,2,857,Stan's NoTubes
257,XL,Camping and Hiking,boats,93,69,31,Boulder Gear
258,S,Camping and Hiking,pants,41,75,1582,Gordini
259,XL,Camping and Hiking,parts,7,91,1510,MYSTERY RANCH
260,XS,Water and Snow Sports,underwear,53,46,881,Stan's NoTubes
261,L,Camping and Hiking,parts,75,98,176,Burton
262,M,Camping and Hiking,pants,29,32,1067,DeLorme
263,L,Camping and Hiking,parts,39,98,335,evolv
264,M,Water and Snow Sports,beds,65,66,35,Gordini
265,S,Men Clothing,underwear,67,89,1301,Casio
266,M,Accessories,skis,15,56,1129,Seirus
267,L,Women Clothing,paddles,60,5,1318,DeLorme
268,XXL,Accessories,books,80,64,423,Maxxis
269,M,Cycling,books,95,68,1180,Cannondale
270,XXL,Camping and Hiking,boats,52,75,288,Mountainsmith
271,XL,Accessories,skis,18,4,676,DAKINE
272,M,Water and Snow Sports,ropes,35,85,532,MYSTERY RANCH
273,XS,Water and Snow Sports,underwear,18,11,1019,AMC
274,XXL,Women Clothing,bikes,77,99,412,Muc-Off
275,M,Water and Snow Sports,underwear,94,51,441,ethirteen
276,M,Water and Snow Sports,bags,14,41,311,Picture Organic Clothing
277,XXL,Accessories,underwear,27,43,429,Dansko
278,M,Accessories,books,39,77,15,Electra
279,L,Camping and Hiking,shirts,84,37,1698,Vuori
280,XXL,Water and Snow Sports,helmet,35,79,1331,Turtle Fur
281,XS,Camping and Hiking,paddles,64,14,459,Wahoo Fitness
282,M,Cycling,kitchen,4,61,333,microSHIFT
283,M,Women Clothing,shirts,39,2,138,Benchmade
284,S,Women Clothing,helmet,21,45,977,Sharp End Publishing
285,L,Accessories,books,55,96,1832,Kamik
286,S,Water and Snow Sports,pants,96,2,521,Oboz
287,L,Camping and Hiking,tent,5,95,1325,Toad&Co
288,L,Men Clothing,boats,28,86,775,Saucony
289,S,Accessories,underwear,61,55,373,CeramicSpeed
290,XL,Cycling,kitchen,34,24,1545,Beyond Yoga
291,S,Water and Snow Sports,books,83,99,1069,Osprey
292,XXL,Water and Snow Sports,lights,42,37,1803,Magura
293,M,Water and Snow Sports,ropes,40,4,61,Ortovox
294,S,Cycling,ropes,22,32,1687,Threads 4 Thought
295,XXL,Cycling,beds,30,34,1392,Kokatat
296,XL,Cycling,tent,28,87,367,Helly Hansen
297,S,Men Clothing,shirts,25,30,162,Vans
298,XL,Men Clothing,paddles,6,72,597,Beacon Guidebooks
299,L,Camping and Hiking,tent,53,10,954,crankbrothers
300,S,Camping and Hiking,underwear,76,94,1768,Saucony
301,S,Water and Snow Sports,parts,35,62,15,Kenda
302,S,Accessories,lights,20,78,1949,Surly
303,XL,Cycling,boats,4,53,1777,Nordica
304,M,Water and Snow Sports,paddles,2,39,1715,Electra
305,XL,Cycling,kitchen,22,26,346,Lantern Press
306,XL,Camping and Hiking,bags,94,10,1145,FSA
307,L,Men Clothing,shorts,14,71,1995,GSI Outdoors
308,S,Cycling,shorts,23,1,564,Stanley
309,M,Camping and Hiking,tent,54,12,170,Turtle Fur
310,S,Water and Snow Sports,pants,98,1,1315,Ortlieb
311,L,Camping and Hiking,kitchen,47,31,1804,Co-op Cycles
312,S,Accessories,shoes,85,69,175,Chums
313,XS,Cycling,parts,6,2,807,Continental
314,XXL,Women Clothing,jackets,69,3,1293,Janji
315,XL,Cycling,bags,81,63,1938,Rossignol
316,XL,Water and Snow Sports,underwear,99,2,962,Five Ten
317,XL,Cycling,skis,12,96,640,Burton
318,XXL,Men Clothing,boats,1,87,8,Smartwool
319,L,Women Clothing,books,67,4,1656,Trek
320,L,Men Clothing,underwear,98,46,930,Fischer
321,M,Cycling,shoes,35,3,1028,TYR
322,XS,Camping and Hiking,beds,94,24,157,Xero Shoes
323,XL,Cycling,bags,34,52,814,Look
324,S,Women Clothing,books,21,26,1883,Sanuk
325,XS,Men Clothing,socks,62,93,1169,Topo Athletic
326,L,Men Clothing,bags,28,78,1943,evolv
327,XXL,Camping and Hiking,jackets,24,83,1928,MSW
328,L,Accessories,bikes,50,25,1627,Rab
329,XXL,Camping and Hiking,kitchen,16,54,359,Schwalbe
330,XXL,Women Clothing,socks,76,78,672,GSI Outdoors
331,L,Water and Snow Sports,boats,84,84,250,rabbit
332,L,Accessories,bags,84,32,1509,Swix
333,XS,Accessories,underwear,35,89,629,Mountaineers Books
334,XXL,Accessories,skis,69,97,1609,Osprey
335,S,Water and Snow Sports,pants,98,93,1539,Ergon
336,L,Cycling,boats,31,75,246,Surly
337,XS,Cycling,socks,84,50,588,Nani Swimwear
338,XXL,Men Clothing,tent,20,31,306,Lowa
339,XXL,Accessories,skis,82,42,645,Bogs
340,XS,Cycling,skis,96,10,994,PEARL iZUMi
341,XS,Cycling,books,50,37,446,Rumpl
342,M,Men Clothing,socks,47,13,249,Campagnolo
343,XS,Men Clothing,boats,72,32,1926,PEAK REFUEL
344,XS,Women Clothing,ropes,4,7,1260,Mountain Press
345,L,Men Clothing,helmet,67,43,1674,Arc'teryx
346,S,Men Clothing,helmet,75,86,1267,Topeak
347,S,Water and Snow Sports,shorts,36,89,1393,Rumpl
348,XL,Cycling,ropes,2,63,60,Sorel
349,XL,Accessories,shirts,69,58,290,Wild Rye
350,M,Camping and Hiking,boats,99,18,1313,Arc'teryx
351,XL,Women Clothing,bikes,45,62,1444,Cane Creek
352,XL,Camping and Hiking,skis,33,6,1584,Fjallraven
353,XXL,Men Clothing,kitchen,17,92,618,Beacon Guidebooks
354,XL,Men Clothing,bags,72,6,344,Astral
355,XS,Accessories,bags,63,35,1025,Sunday Afternoons
356,M,Camping and Hiking,ropes,29,68,1544,Bontrager
357,XXL,Accessories,bikes,99,77,881,Look
358,L,Cycling,tent,100,84,422,Garmin
359,S,Camping and Hiking,helmet,51,21,1598,YETI
360,XL,Men Clothing,shorts,13,88,125,Arc'teryx
361,M,Men Clothing,boats,54,26,391,Sierra Designs
362,XS,Men Clothing,books,59,51,1243,Bontrager
363,XXL,Accessories,lights,82,58,1083,humangear
364,XL,Women Clothing,socks,52,29,39,Pro-Tec Athletics
365,S,Accessories,kitchen,72,38,1539,Teravail
366,XS,Water and Snow Sports,shoes,32,44,850,Wolf Tooth Components
367,XL,Water and Snow Sports,pants,7,62,512,Royal Robbins
368,XS,Camping and Hiking,beds,51,19,336,Schwalbe
369,XL,Camping and Hiking,lights,44,70,1375,OneUp Components
370,L,Men Clothing,helmet,96,71,213,Nathan
371,XXL,Camping and Hiking,lights,63,47,935,Galfer
372,M,Water and Snow Sports,kitchen,29,41,1904,Suspenz
373,XL,Water and Snow Sports,boats,71,41,346,Kokatat
374,M,Accessories,jackets,89,51,1864,Bogs
375,XL,Camping and Hiking,shirts,43,89,1007,Sharp End Publishing
376,S,Men Clothing,underwear,75,84,8,FalconGuides
377,XXL,Men Clothing,shirts,100,61,85,Seirus
378,S,Men Clothing,bikes,99,5,1200,Race Face
379,XS,Cycling,kitchen,90,31,1405,AMC
380,M,Women Clothing,kitchen,55,42,754,Kari Traa
381,XL,Camping and Hiking,paddles,42,73,695,Benchmark Maps
382,S,Water and Snow Sports,underwear,98,61,407,Sockwell
383,XS,Water and Snow Sports,parts,20,98,1582,Deuter
384,L,Men Clothing,parts,74,15,1592,Mountainsmith
385,XS,Accessories,socks,26,75,271,Gerber
386,XS,Accessories,ropes,97,32,1744,Therm-a-Rest
387,L,Men Clothing,paddles,6,4,709,Jetboil
388,L,Men Clothing,beds,7,15,2000,Terry
389,L,Camping and Hiking,shoes,54,85,333,Mountain House
390,XXL,Water and Snow Sports,socks,78,25,770,Suspenz
391,XXL,Cycling,bags,60,83,1857,Magura
392,XXL,Cycling,socks,19,6,1823,Flylow
393,L,Accessories,paddles,43,51,1461,Revelate Designs
394,M,Water and Snow Sports,bags,82,24,1814,Asolo
395,M,Water and Snow Sports,boats,55,88,994,Sunday Afternoons
396,L,Water and Snow Sports,books,78,85,1897,Fjallraven
397,L,Women Clothing,skis,74,71,325,Schwalbe
398,XXL,Water and Snow Sports,shoes,43,78,1077,Sharp End Publishing
399,XL,Men Clothing,bags,49,71,995,Hydro Flask
400,XS,Men Clothing,jackets,93,45,1892,Sanuk
401,M,Men Clothing,underwear,95,52,1926,Arc'teryx
402,L,Camping and Hiking,lights,44,93,1001,Vittoria
403,XS,Accessories,shoes,91,4,664,Sharp End Publishing
404,L,Women Clothing,beds,23,70,419,Altra
405,XXL,Camping and Hiking,tent,58,85,1327,Turtle Fur
406,M,Camping and Hiking,shorts,27,32,1907,TomboyX
407,XL,Water and Snow Sports,bikes,50,24,1894,Wilderness Press
408,S,Women Clothing,parts,46,92,1668,MSW
409,S,Cycling,boats,68,100,159,Vuori
410,XXL,Men Clothing,tent,52,31,322,Therm-a-Rest
411,L,Accessories,jackets,10,60,670,Lantern Press
412,XXL,Camping and Hiking,paddles,34,8,935,Maui Jim
413,XS,Water and Snow Sports,bags,12,22,1602,TomboyX
414,S,Cycling,shoes,86,15,872,Osprey
415,XL,Accessories,books,6,44,951,Xero Shoes
416,L,Accessories,books,6,9,131,Tom Harrison Cartography
417,S,Cycling,lights,83,65,1777,Casio
418,S,Camping and Hiking,kitchen,33,99,1212,Ortovox
419,XXL,Women Clothing,helmet,19,1,266,Zipp
420,S,Accessories,parts,24,67,366,Portland Design Works
421,S,Women Clothing,bags,79,96,1613,Nordica
422,XL,Accessories,books,33,96,1643,Portland Design Works
423,L,Camping and Hiking,boats,94,52,1880,Jetboil
424,XS,Men Clothing,books,82,68,1176,Five Ten
425,XS,Cycling,books,54,24,627,XTRATUF
426,XS,Women Clothing,pants,85,40,119,Lowa
427,S,Women Clothing,shirts,9,48,1791,Arc'teryx
428,S,Cycling,underwear,13,93,1908,VISSLA
429,XXL,Camping and Hiking,tent,30,64,268,Zoic
430,XXL,Water and Snow Sports,tent,55,96,787,Fischer
431,M,Camping and Hiking,socks,60,46,1991,Zamberlan
432,L,Men Clothing,boats,28,47,292,Amphipod
433,S,Men Clothing,socks,63,10,1599,Eagle Creek
434,M,Women Clothing,boats,6,17,434,Peak Design
435,XL,Water and Snow Sports,helmet,99,70,829,Black Diamond
436,XXL,Women Clothing,socks,58,75,1500,KEEN
437,M,Men Clothing,underwear,68,5,1443,Black Diamond
438,XXL,Accessories,ropes,34,16,512,Zamberlan
439,S,Accessories,shorts,84,7,551,Sherpani
440,L,Women Clothing,bags,23,76,1371,Patagonia
441,XS,Men Clothing,bikes,65,22,1913,ENO
442,S,Cycling,bikes,48,9,1317,Wild Rye
443,XL,Accessories,pants,82,83,1713,Smartwool
444,XL,Camping and Hiking,paddles,99,17,1845,Edelrid
445,S,Women Clothing,ropes,95,37,1188,Smartwool
446,XS,Accessories,shirts,99,70,547,Fox
447,XXL,Accessories,tent,95,56,1053,XTRATUF
448,XS,Women Clothing,skis,72,95,933,adidas
449,XL,Men Clothing,ropes,85,32,770,Swix
450,XL,Camping and Hiking,underwear,45,10,1678,Smartwool
451,S,Camping and Hiking,helmet,47,37,1431,Scarpa
452,L,Accessories,helmet,28,82,990,Stanley
453,L,Cycling,underwear,65,62,557,prAna
454,M,Accessories,lights,63,2,1354,Teva
455,L,Accessories,jackets,39,50,1437,Suncloud
456,XL,Water and Snow Sports,pants,27,79,696,UCO
457,M,Accessories,tent,91,64,1658,microSHIFT
458,XXL,Water and Snow Sports,shirts,7,37,1368,rabbit
459,XL,Water and Snow Sports,lights,38,58,1005,Big Agnes
460,L,Men Clothing,paddles,75,19,264,Continental
461,XXL,Men Clothing,lights,97,67,48,Garmin
462,M,Men Clothing,helmet,30,64,48,Seals
463,M,Cycling,tent,54,80,1018,Zipp
464,XXL,Men Clothing,beds,90,20,1245,Janji
465,XL,Cycling,shirts,39,81,1885,MRP
466,XL,Accessories,ropes,80,4,234,SRAM
467,M,Camping and Hiking,jackets,83,97,1050,Cannondale
468,S,Camping and Hiking,helmet,50,80,1281,CeramicSpeed
469,XL,Women Clothing,beds,98,55,107,Topo Athletic
470,M,Cycling,tent,10,60,1824,AlpineAire Foods
471,L,Men Clothing,boats,38,20,68,Sunday Afternoons
472,XS,Accessories,shorts,77,86,1951,DeLorme
473,S,Accessories,bikes,17,5,901,CamelBak
474,XXL,Accessories,shirts,5,40,111,Portland Design Works
475,XXL,Water and Snow Sports,paddles,53,94,990,Cannondale
476,XXL,Cycling,beds,54,35,883,AlpineAire Foods
477,S,Cycling,underwear,84,39,1254,Threads 4 Thought
478,S,Cycling,skis,2,65,1454,Black Diamond
479,XXL,Water and Snow Sports,kitchen,20,91,1882,Schwalbe
480,M,Men Clothing,shorts,28,82,591,Cane Creek
481,XL,Women Clothing,boats,60,72,313,HOKA
482,XS,Men Clothing,books,90,61,1827,Wild Rye
483,XL,Cycling,underwear,2,72,1775,Smartwool
484,XS,Water and Snow Sports,jackets,77,19,319,AlpineAire Foods
485,M,Women Clothing,jackets,43,50,770,Campagnolo
486,XXL,Women Clothing,socks,86,11,467,ethirteen
487,XL,Accessories,paddles,27,8,1763,Trango
488,M,Cycling,kitchen,1,77,754,Outdoor Voices
489,XS,Cycling,books,73,60,279,Mountainsmith
490,S,Cycling,pants,68,59,1078,Topeak
491,S,Water and Snow Sports,kitchen,96,72,465,Brompton
492,S,Women Clothing,underwear,51,88,1222,Green Trails
493,XS,Cycling,boats,35,93,124,MYSTERY RANCH
494,XS,Women Clothing,shorts,88,4,1959,Trango
495,L,Cycling,skis,52,93,1069,Patagonia
496,XS,Water and Snow Sports,lights,15,40,1558,Sanuk
497,XS,Cycling,kitchen,47,64,1059,Burton
498,XS,Cycling,shorts,69,10,222,CeramicSpeed
499,XL,Men Clothing,books,36,46,95,Maxxis
500,L,Men Clothing,bags,56,53,620,Shimano
